"ID","country","state","city","shape","DurationSeconds","duration (hours/min)","comments","DateTime","MeanValue_1","MeanValue_2","...12","...13"
22,"gb",NA,"cardiff (uk/wales)","disk",1200,"20 minutes","back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca",2007-02-01,-3.2,51.5,NA,NA
2404,"gb",NA,"hull (uk/england)","disk",420,"7 mins","2 orangey red discs similar to other reports from the time.",2009-03-19,-0.333333,53.716667,NA,NA
3843,"gb",NA,"hereford (uk/england)","disk",900,"15 minutes","moving lights spotted above hereford in england",2007-11-28,-2.716667,52.05,NA,NA
4750,"gb",NA,"stevenage (uk/england)","disk",120,"2 minutes","Yellow disk over Stevenage.  ((NUFORC Note:  Student report.  PD))",2007-11-28,-0.216667,51.916667,NA,NA
6913,"gb",NA,"london (uk/england)","disk",30,"30 sec","Transparent disk leaves nuclear plant",2001-10-12,-0.093689,51.514125,NA,NA
7664,"gb",NA,"sheffield (uk/england)","disk",180,"3 minutes","a small flat disked shape&#44 orange coloured&#44 with orange rays coming off&#44 moved further in the sky at late evening.",2008-10-31,-1.5,53.366667,NA,NA
8193,"gb",NA,"preston (uk/england)","disk",180,"2 to 3 mins","about 60 ft long red and yellow lights a big spotlight hoverd overhead about 500yds to the north of us for about 2 to 3 minutes no nois",2003-12-19,-0.466667,50.783333,NA,NA
8377,"gb",NA,"kent (uk/england)","disk",300,"5 minutes","The area it went into a vertical climb was where the USAAF from Nebraska were stationed in WW2. A coincidence but true.",2011-10-10,0.75,51.25,NA,NA
10277,"gb",NA,"cardiff (uk/wales)","disk",300,"5 mins","This happened in november 1962. It was a large round saucer with revolving lights in the middle.",2008-06-12,-3.2,51.5,NA,NA
12003,"gb",NA,"london (uk/englnd)","disk",1,"1 second","Twin-disc &#39pivoting&#39 UFO observed to rapidly cross the skies of Slough&#44 U.K.&#44 in 1977/ 1978.",2008-06-12,-0.093689,51.514125,NA,NA
12295,"gb",NA,"ellesmere port (uk/england)","disk",120,"2 minutes","saucer shape craft with orange light",2008-01-21,-2.9,53.283333,NA,NA
12348,"gb",NA,"london (uk/england)","disk",420,"7minutes","orange round vessel in sky over Chertsey Surrey.",2009-01-10,-0.093689,51.514125,NA,NA
12774,"gb",NA,"launceston (uk/england)","disk",600,"10 mins","saurcer with 7 lights",2001-02-18,-4.364444,50.633889,NA,NA
14321,"gb",NA,"norwich (norfold) (uk/england)","disk",90,"1.3","the 3 discs travelled in a circle and turned to sparks",2006-12-07,1.3,52.633333,NA,NA
14664,"gb",NA,"dunstable (uk/england)","disk",600,"10 mins","UFO dancing",2004-12-03,-0.516667,51.883333,NA,NA
15100,"gb",NA,"canterbury (uk/england)","disk",0,"town","It was glowing it was a saucer it was yellow and had a white top.",2002-12-23,1.083333,51.266667,NA,NA
17065,"gb",NA,"blackpool (uk/england)","disk",30,"30 sec","flying disc over norbreck jan 2009",2009-03-19,-3.05,53.816667,NA,NA
18838,"gb",NA,"leicester (uk/england)","disk",30,"30 seconds","it moved across the sky with small flashing lights on it and it was very quick and it dissapearred into a cloud.",2009-03-19,-1.034894,52.664913,NA,NA
18896,"gb",NA,"bristol (uk/england)","disk",900,"15 minutes","UFO sighting in bristol bright lights hovering still and cricling the sky before landing.",2013-12-12,-2.583333,51.45,NA,NA
19599,"gb",NA,"somerset (uk/england)","disk",1560,"26 mins","one  disk&#44 with bright lights over my house",2003-03-04,-3,51.083333,NA,NA
21398,"gb",NA,"liverpool (uk/england)","disk",1800,"30 mins","A string of light chasing in the sky (Madness)",2007-02-01,-3,53.416667,NA,NA
21796,"gb",NA,"bridgewater (uk/england)","disk",2,"seconds","craft over uk village",2008-06-12,-3.000556,51.129722,NA,NA
23089,"gb",NA,"leeds (uk/england)","disk",6,"6 sec&#39s","Sausage shape&#44 bright white&#44 traveling east to west.",2001-01-03,-1.583333,53.8,NA,NA
23905,"gb",NA,"aldershot (uk/england)","disk",240,"3 to 4 minutes","3 Bright Orange Lights&#44 Moving North&#44 North Easterly&#44 Lasting 3 To 4 Minutes",2008-02-14,-0.766667,51.25,NA,NA
24652,"gb",NA,"stoke-on-trent (uk/england)","disk",180,"3mins","Sighting first by my husband a 100% life long sceptic he awoke me to see the unusual sightquite high above the horizon over farmland/fo",2003-03-04,-2.183333,53,NA,NA
25512,"gb",NA,"basingstoke (uk/england)","disk",30,"30 secs","ufo basingstoke u.k.",2008-02-14,-1.083333,51.266667,NA,NA
26060,"gb",NA,"london (uk/england)","disk",180,"3 mins","strange disk shapes in opening of clouds",2003-03-04,-0.093689,51.514125,NA,NA
26097,"gb",NA,"blackpool (uk/england)","disk",420,"about 7 mins","=Ufo over train station/ makes a powercut/lasts 7 mins/makes air raid siren noise/ turns into water=",2007-02-24,-3.05,53.816667,NA,NA
27009,"gb",NA,"rainham (uk/england)","disk",40,"40 secs","disk shaped craft with intense bright white lights travelling northwest.",2006-02-14,0.6,51.35,NA,NA
27353,"gb",NA,"folkestone (uk/england)","disk",3600,"1 hour?","Saucer shaped object&#44 flying slowly and silently&#44 with coloured lights moved towards the bright light. I signalled to it&#44",2005-05-11,1.183333,51.083333,NA,NA
28928,"gb",NA,"glasgow (uk/scotland)","disk",180,"3 mins","weirdest thing we have ever seen certainly not an aircraft",2001-03-06,-4.25,55.833333,NA,NA
29306,"gb",NA,"stroud (uk/england)","disk",300,"5min","Blue Saucer-shaped with white&#44 yellow&#44 and orange ext lights appeared and seemed to be searching over a lake&#44 then left.",2003-08-01,-2.2,51.75,NA,NA
29717,"gb",NA,"stafford (uk/england)","disk",145,"2 mins 25 secs","Same 3 ufo&#39s appear again and may have been experimenting on local animals. 500 Lights On Object0: Yes",2009-03-19,-2,52.833333,NA,NA
31505,"gb",NA,"paisley (uk/scotland)","disk",0,NA,"Several nights in a row&#44 unsual hovering lights in the sky&#44 flashing red&#44 white&#44 blue flashing on a wide object in the sky.",2004-03-02,-4.433333,55.833333,NA,NA
32385,"gb",NA,"reading (uk/england)","disk",180,"2-3 mins","ufo in reading(uk)  500 Lights On Object0: Yes",2007-02-24,-1,51.433333,NA,NA
32841,"gb",NA,"carlisle (uk/england)","disk",900,"15mins","Three dark grey saucers in the air hovering.",2001-08-05,-2.933333,54.883333,NA,NA
