"DateTime","city","country","shape"
1999-11-02,"aurora","us","changed"
2012-09-24,"29 palms",NA,"changing"
2001-08-05,"aberdeen","us","changing"
2008-10-31,"abilene","us","changing"
2010-04-13,"abilene","us","changing"
2003-09-28,"abilene","us","changing"
2009-12-12,"abu dhabi (uae)",NA,"changing"
2006-07-16,"accrington&#44 lancashire (uk/england)",NA,"changing"
2008-01-21,"aiken","us","changing"
2001-11-20,"akron","us","changing"
2009-12-12,"akron","us","changing"
2011-12-12,"alameda","us","changing"
2001-08-05,"alamogordo","us","changing"
2009-08-27,"albany","us","changing"
2012-05-13,"albertville","us","changing"
2006-03-11,"albuquerque","us","changing"
2013-12-02,"albuquerque","us","changing"
2014-01-10,"albuquerque","us","changing"
2009-08-05,"albuquerque","us","changing"
2005-07-15,"alexanria",NA,"changing"
2002-04-08,"allegany","us","changing"
1999-06-23,"allen","us","changing"
2009-12-12,"alligator alley",NA,"changing"
1998-03-07,"altus afb",NA,"changing"
2005-04-16,"amarillo","us","changing"
2010-11-21,"amelia","us","changing"
2011-01-31,"american canyon","us","changing"
2013-12-23,"ames","us","changing"
2007-02-24,"amityville","us","changing"
2008-10-31,"anacortes","us","changing"
2004-03-09,"anaheim","us","changing"
2006-12-07,"anchorage","us","changing"
2001-02-18,"anchorage","us","changing"
2012-09-24,"andover","us","changing"
2007-08-07,"ankara (turkey)",NA,"changing"
2006-10-30,"ann arbor","us","changing"
2008-06-12,"annapolis","us","changing"
2011-10-19,"anson","us","changing"
2013-11-11,"anthony","us","changing"
2001-02-18,"antler lake (canada)",NA,"changing"
2004-06-18,"apache junction","us","changing"
2008-06-12,"apalachicola","us","changing"
2009-08-05,"apalachicola","us","changing"
2012-09-24,"aptos","us","changing"
2013-09-09,"area 51 (general area; in flight)",NA,"changing"
2012-11-19,"arizona city","us","changing"
2011-04-03,"arizona city","us","changing"
2003-03-21,"arkport","us","changing"
2003-12-19,"arlington","us","changing"
1998-09-26,"arlington","us","changing"
2012-08-19,"arouca (trinidad/tobago)",NA,"changing"
2002-11-04,"arroyo grande","us","changing"
2003-09-12,"asbury","us","changing"
2012-05-13,"asheville","us","changing"
2013-09-30,"asheville","us","changing"
2005-04-16,"ashland","us","changing"
2003-05-09,"ashland","us","changing"
2013-08-30,"ashland","us","changing"
2004-06-18,"ashland","us","changing"
2009-03-19,"ashnurn",NA,"changing"
2008-10-31,"ashtabula","us","changing"
2010-11-21,"atikokan (canada)","ca","changing"
2004-01-17,"atlanta","us","changing"
2003-12-09,"atlanta","us","changing"
2001-02-18,"atlanta","us","changing"
2009-05-12,"atlanta","us","changing"
2010-08-24,"atlantic beach","us","changing"
2011-10-10,"atwater","us","changing"
2004-09-01,"atwater village",NA,"changing"
2012-12-20,"auburn","us","changing"
2009-03-19,"auburn","us","changing"
2010-05-12,"auburn","us","changing"
2010-05-12,"auburn","us","changing"
2011-10-10,"aulander","us","changing"
2009-03-19,"aurora","us","changing"
2012-12-20,"austin","us","changing"
2004-12-14,"austin","us","changing"
2004-01-17,"austin","us","changing"
2001-02-18,"austin","us","changing"
2013-05-15,"austin","us","changing"
2005-05-28,"austin","us","changing"
2002-09-06,"austin","us","changing"
2013-09-09,"austin","us","changing"
2012-05-13,"austin/florence",NA,"changing"
2010-11-21,"australia",NA,"changing"
2010-06-10,"australia",NA,"changing"
2003-07-16,"avalon","us","changing"
2008-10-31,"avila beach","us","changing"
2005-09-02,"avinger (lake o&#39 the pinext)","us","changing"
2013-05-15,"avon","us","changing"
2001-08-05,"avon lake","us","changing"
1999-01-28,"avon-by-the-sea","us","changing"
2004-01-31,"aztalan state park",NA,"changing"
2009-03-19,"baadon",NA,"changing"
2013-11-11,"bagheria (italy)",NA,"changing"
2006-10-30,"bagsv&aelig;rd (denmark)",NA,"changing"
2014-04-11,"bahamas",NA,"changing"
2006-05-15,"baie d&#39urfe (canada)",NA,"changing"
2009-12-12,"bainbridge island",NA,"changing"
1999-01-28,"baker/stateline (between)",NA,"changing"
2006-10-30,"bakersfield","us","changing"
2008-10-31,"bakersfield","us","changing"
1998-09-26,"bakersfield","us","changing"
2013-07-22,"baldwin park","us","changing"
2005-12-16,"ballinger","us","changing"
2008-10-31,"baltimore","us","changing"
2012-03-13,"baltimore","us","changing"
2002-06-12,"baltimore","us","changing"
2012-09-24,"bandon","us","changing"
2007-11-28,"bangkok (thailand)",NA,"changing"
2006-12-14,"bangkok (thailand)",NA,"changing"
2001-11-20,"bangor","us","changing"
1999-11-30,"barbourville","us","changing"
2001-08-05,"barstow","us","changing"
2006-07-16,"bartlesville","us","changing"
2005-10-20,"bath","us","changing"
2012-03-13,"bay city","us","changing"
2005-06-20,"bayonne","us","changing"
2012-06-05,"beacon rock state park (skamania)",NA,"changing"
2004-10-27,"beaumont","us","changing"
2007-11-28,"beaver","us","changing"
2003-07-16,"beaver lake",NA,"changing"
2004-01-17,"beavercreek","us","changing"
2009-08-05,"beavercreek",NA,"changing"
2013-10-14,"beaverdam (canada)","ca","changing"
2007-02-01,"beaverton","us","changing"
2008-03-31,"beaverton","us","changing"
2008-10-31,"bel air","us","changing"
2014-02-27,"belcamp","us","changing"
2000-04-01,"bella vista","us","changing"
2003-07-16,"belle harbor","us","changing"
2012-05-29,"belleville","us","changing"
2007-10-08,"belleville (canada)","ca","changing"
2005-01-11,"bellevue","us","changing"
2002-03-19,"bellevue","us","changing"
2001-04-28,"bellevue","us","changing"
2005-07-13,"bellevue","us","changing"
2006-10-30,"bellevue","us","changing"
2011-05-29,"bellingham","us","changing"
2000-08-05,"bellingham","us","changing"
2012-06-14,"beloit","us","changing"
2007-02-01,"beloit/milwaukee (between)",NA,"changing"
2000-04-01,"belton","us","changing"
2001-10-12,"bena","us","changing"
2013-05-15,"bend","us","changing"
2011-12-12,"bend/burns (between)",NA,"changing"
2003-11-11,"benicia","us","changing"
2012-11-04,"benidorm (spain)",NA,"changing"
2008-03-31,"berkeley","us","changing"
2001-10-12,"berlin","us","changing"
2010-04-13,"bethlehem","us","changing"
2006-12-07,"beverly hills","us","changing"
2006-12-07,"beverly hills","us","changing"
2006-02-14,"bideford (uk/england)","gb","changing"
2003-03-11,"big bear lake area",NA,"changing"
2013-11-20,"billerica","us","changing"
2003-03-11,"billings","us","changing"
2013-07-03,"billings","us","changing"
1999-01-28,"birkshire county",NA,"changing"
2000-04-26,"birmingham","us","changing"
2005-12-16,"birmingham (uk/england)","gb","changing"
2000-01-07,"biscoe","us","changing"
2012-06-05,"bishopville","us","changing"
2008-10-31,"bismarck","us","changing"
2009-01-10,"black rock","us","changing"
2004-03-02,"blackpool (uk/england)","gb","changing"
2004-04-09,"bladensburg","us","changing"
2000-12-02,"blaine","us","changing"
2006-05-15,"bloomington","us","changing"
2003-10-31,"blountville","us","changing"
2011-12-12,"blue springs","us","changing"
2000-03-16,"blue springs","us","changing"
2007-06-12,"blythe",NA,"changing"
2005-10-20,"blytheville","us","changing"
2001-08-20,"bognor (uk/england)","gb","changing"
2010-02-14,"boise","us","changing"
2010-02-14,"boise","us","changing"
2013-07-22,"boise","us","changing"
2014-04-11,"bolingbrook","us","changing"
2012-01-12,"bon air","us","changing"
2013-07-03,"bonita springs","us","changing"
2002-07-26,"boron","us","changing"
2005-06-20,"bossier city","us","changing"
2010-11-21,"boston","us","changing"
2010-08-24,"boston","us","changing"
2001-12-05,"boulder","us","changing"
2007-08-14,"boulder","us","changing"
2013-11-20,"boulder","us","changing"
2006-05-15,"bowie","us","changing"
2006-07-16,"bowland&#44 lancashire (uk/england)",NA,"changing"
2001-02-18,"bowling green","us","changing"
2012-01-12,"bradenton","us","changing"
2012-01-12,"bradenton","us","changing"
2010-11-21,"bradenton","us","changing"
2012-05-13,"brampton (canada)","ca","changing"
2004-08-11,"brampton (canada)","ca","changing"
2001-10-12,"branch",NA,"changing"
2009-01-10,"brawley","us","changing"
2005-09-02,"breckenridge","us","changing"
2009-03-19,"bremerton","us","changing"
2005-06-20,"brewerton","us","changing"
2004-03-09,"brick",NA,"changing"
2000-07-11,"bridgewater","us","changing"
2010-11-21,"brighton","us","changing"
2002-08-16,"brisbane (qld&#44 australia)","au","changing"
2001-08-05,"brisbane (qld&#44 australia)","au","changing"
2005-11-03,"bristol","us","changing"
2001-04-28,"bristol","us","changing"
2007-10-08,"bristol","us","changing"
2008-10-31,"broadstairs (uk/england",NA,"changing"
2013-02-04,"broadway","us","changing"
2010-11-21,"broken arrow","us","changing"
2009-01-10,"broken arrow","us","changing"
2014-04-04,"brookings","us","changing"
2012-01-12,"brooksville","us","changing"
2013-07-14,"broomfield","us","changing"
2005-09-15,"browns summit","us","changing"
2009-12-12,"brownsdale","us","changing"
2014-04-24,"buchanan","us","changing"
2008-06-12,"buckhead","us","changing"
2008-06-12,"buckhead","us","changing"
2009-12-12,"buda","us","changing"
2006-12-07,"buena park","us","changing"
2009-03-19,"buena park","us","changing"
2001-08-05,"buena vista","us","changing"
2013-05-15,"buenos aires (argentina)",NA,"changing"
2010-11-21,"buffalo","us","changing"
1999-08-30,"buffalo","us","changing"
2012-09-24,"buffalo grove","us","changing"
2006-07-16,"bullhead",NA,"changing"
2010-04-13,"bunnell","us","changing"
2002-11-16,"burbank","us","changing"
2007-02-01,"burbank","us","changing"
2002-01-11,"burbank","us","changing"
2010-07-19,"burbank","us","changing"
2013-09-30,"burbank","us","changing"
2009-01-10,"burbank (outside of; near pasco)","us","changing"
1999-11-09,"burlingame/san mateo (between)",NA,"changing"
2004-11-02,"burlington","us","changing"
2013-12-02,"burlington","us","changing"
2001-10-12,"burlington","us","changing"
2006-03-11,"burlington (canada)","ca","changing"
2004-07-25,"burlington (canada)","ca","changing"
2005-05-11,"burna","us","changing"
2009-12-12,"burnsville","us","changing"
2012-12-20,"butte","us","changing"
2007-02-01,"cadiz","us","changing"
2011-08-07,"cadiz","us","changing"
2014-01-30,"calgary (canada)","ca","changing"
2007-04-27,"calgary (canada)","ca","changing"
2007-02-01,"calistoga","us","changing"
2004-08-24,"camarillo","us","changing"
2004-08-24,"camarillo","us","changing"
2012-10-30,"cambridge (canada)","ca","changing"
2014-04-18,"cambridge (canada)","ca","changing"
2005-12-16,"camden","us","changing"
2005-10-11,"camp verde","us","changing"
2011-10-19,"campo","us","changing"
2006-02-14,"canada",NA,"changing"
2007-06-12,"canadensis","us","changing"
2003-06-18,"canberra (australia)","au","changing"
1999-07-05,"cancun (mexico)",NA,"changing"
2006-03-11,"canoga park","us","changing"
2000-04-01,"canouan (caranage bay resort) (grenadine islands)",NA,"changing"
2001-04-01,"canterbury","us","changing"
2009-01-10,"canton","us","changing"
2009-04-14,"canton","us","changing"
2012-09-24,"canton","us","changing"
2004-11-02,"canyon lake (near)",NA,"changing"
2013-07-03,"cape charles","us","changing"
2011-01-31,"cape coral","us","changing"
2008-10-31,"cape may","us","changing"
1998-11-21,"caracas&#44 d.f. (venezuela)",NA,"changing"
2004-10-27,"carbonado","us","changing"
1998-11-01,"carbondale","us","changing"
1999-02-16,"carbondale","us","changing"
2008-03-04,"cardiff",NA,"changing"
2008-08-12,"cardiff (uk/wales)","gb","changing"
2012-06-20,"carr (west of)","us","changing"
2005-07-15,"carrol stream",NA,"changing"
2002-11-20,"carrollton","us","changing"
2005-05-11,"carrollton","us","changing"
2005-10-11,"carver","us","changing"
2010-02-14,"cary","us","changing"
2004-08-24,"casselberry","us","changing"
